YEAR,LOCATION,LOCATION_CODE,PRICE_CENTS_KWH,CPI,CPI_DEFLATOR,REAL_PRICE_CENTS_KWH,NOMINAL_YOY_PCT,REAL_YOY_PCT,CPI_YOY_PCT,DELTA_VS_INFLATION,ERA
2007,Alabama,AL,9.32,207.3,1.5156777616980222,14.1261,6.514285714285717,3.585046783797252,2.8273809523809534,3.6869,Modern Era (1990-2009)
2008,Alabama,AL,10.4,215.3,1.4593590339061773,15.1773,11.587982832618016,7.441544375305287,3.8591413410516084,7.7288,Modern Era (1990-2009)
2009,Alabama,AL,10.66,214.5,1.4648018648018648,15.6148,2.499999999999991,2.882594400848637,-0.3715745471435272,2.8716,Modern Era (1990-2009)
2010,Alabama,AL,10.67,218.1,1.4406235671710224,15.3715,0.09380863039398779,-1.5581371519327925,1.6783216783216703,-1.5845,Recent (2010-2024)
2011,Alabama,AL,11.09,224.9,1.3970653623832814,15.4935,3.936269915651369,0.7936766093094461,3.1178358551123386,0.8184,Recent (2010-2024)
2012,Alabama,AL,11.4,229.6,1.3684668989547037,15.6005,2.7953110910730494,0.6906121922096498,2.089817696754115,0.7055,Recent (2010-2024)
2013,Alabama,AL,11.26,233.0,1.3484978540772532,15.1841,-1.2280701754386003,-2.669145219704494,1.4808362369338024,-2.7089,Recent (2010-2024)
2014,Alabama,AL,11.48,236.7,1.327418673426278,15.2388,1.9538188277087087,0.3602452565512504,1.587982832618029,0.3658,Recent (2010-2024)
2015,Alabama,AL,11.7,237.0,1.3257383966244725,15.5111,1.9163763066202044,1.7868861065175823,0.12674271229404788,1.7896,Recent (2010-2024)
2016,Alabama,AL,11.99,240.0,1.3091666666666666,15.6969,2.478632478632492,1.197851860925403,1.2658227848101333,1.2128,Recent (2010-2024)
2017,Alabama,AL,12.55,245.1,1.2819257445940433,16.0882,4.67055879899918,2.4928489064719894,2.124999999999999,2.5456,Recent (2010-2024)
2018,Alabama,AL,12.18,251.1,1.2512943050577459,15.2408,-2.948207171314754,-5.267214480178017,2.447980416156681,-5.3962,Recent (2010-2024)
2019,Alabama,AL,12.53,255.7,1.2287837309346892,15.3967,2.8735632183908066,1.0229121830874988,1.831939466348076,1.0416,Recent (2010-2024)
2020,Alabama,AL,12.57,258.8,1.214064914992272,15.2608,0.31923383878691425,-0.8826566731832131,1.2123582323034787,-0.8931,Recent (2010-2024)
2021,Alabama,AL,12.96,270.9,1.1598375784422297,15.0315,3.1026252983293645,-1.502542461732026,4.675425038639869,-1.5728,Recent (2010-2024)
2022,Alabama,AL,14.25,292.7,1.0734540485138366,15.2967,9.953703703703699,1.7642949805408703,8.047249907715038,1.9065,Recent (2010-2024)
2023,Alabama,AL,14.63,304.7,1.031178208073515,15.0861,2.6666666666666616,-1.3767675380964461,4.0997608472839175,-1.4331,Recent (2010-2024)
2024,Alabama,AL,15.18,314.2,1.0,15.18,3.7593984962405846,0.6224272674846265,3.1178208073515012,0.6416,Recent (2010-2024)
2001,Arkansas,AR,7.72,177.1,1.7741389045736873,13.6964,,,,,Modern Era (1990-2009)
2002,Arkansas,AR,7.25,179.9,1.7465258476931627,12.6623,-6.088082901554404,-7.550159165912218,1.5810276679842028,-7.6691,Modern Era (1990-2009)
2003,Arkansas,AR,7.24,184.0,1.7076086956521739,12.3631,-0.13793103448275223,-2.362919848684686,2.2790439132851503,-2.417,Modern Era (1990-2009)
2004,Arkansas,AR,7.36,188.9,1.6633139227104288,12.242,1.6574585635359185,-0.9795277883378639,2.6630434782608736,-1.0056,Modern Era (1990-2009)
